-,train,Test
320,0.108,0.116
321,0.108,0.116
322,0.108,0.116
323,0.108,0.116
324,0.108,0.116
325,0.108,0.116
326,0.108,0.116
327,0.108,0.116
328,0.108,0.116
329,0.108,0.116
330,0.108,0.116
331,0.108,0.116
332,0.108,0.116
333,0.108,0.116
334,0.108,0.116
335,0.108,0.116
336,0.108,0.116
337,0.108,0.116
338,0.108,0.116
339,0.108,0.116
340,0.108,0.116
341,0.108,0.116
342,0.108,0.116
343,0.108,0.116
344,0.108,0.116
345,0.108,0.116
346,0.108,0.116
347,0.108,0.116
348,0.108,0.116
349,0.108,0.116
350,0.108,0.116
351,0.108,0.116
352,0.108,0.116
353,0.108,0.116
354,0.108,0.116
355,0.108,0.116
356,0.108,0.116
357,0.108,0.116
358,0.108,0.116
359,0.108,0.116
360,0.108,0.116
361,0.108,0.116
362,0.108,0.116
363,0.108,0.116
364,0.108,0.116
365,0.108,0.116
366,0.108,0.116
367,0.108,0.116
368,0.108,0.116
369,0.108,0.116
370,0.108,0.116
371,0.108,0.116
372,0.108,0.116
373,0.108,0.116
374,0.108,0.116
375,0.108,0.116
376,0.108,0.116
377,0.108,0.116
378,0.108,0.116
379,0.108,0.116
380,0.108,0.116
381,0.108,0.116
382,0.108,0.116
383,0.108,0.116
384,0.108,0.116
385,0.108,0.116
386,0.108,0.116
387,0.108,0.116
388,0.108,0.116
389,0.108,0.116
390,0.108,0.116
391,0.108,0.116
392,0.108,0.116
393,0.108,0.116
394,0.108,0.116
395,0.108,0.116
396,0.108,0.116
397,0.108,0.116
398,0.108,0.116
399,0.108,0.116
400,0.108,0.116
401,0.108,0.116
402,0.108,0.116
403,0.108,0.116
404,0.108,0.116
405,0.108,0.116
406,0.108,0.116
407,0.108,0.116
408,0.108,0.116
409,0.108,0.116
410,0.108,0.116
411,0.108,0.116
412,0.108,0.116
413,0.108,0.116
414,0.108,0.116
415,0.108,0.116
416,0.108,0.116
417,0.108,0.116
418,0.108,0.116
419,0.108,0.116
420,0.108,0.116
421,0.108,0.116
422,0.108,0.116
423,0.108,0.116
424,0.108,0.116
425,0.108,0.116
426,0.108,0.116
427,0.108,0.116
428,0.108,0.116
429,0.108,0.116
430,0.108,0.116
431,0.108,0.116
432,0.108,0.116
433,0.108,0.116
434,0.108,0.116
435,0.108,0.116
436,0.108,0.116
437,0.108,0.116
438,0.108,0.116
439,0.108,0.116
440,0.108,0.116
441,0.108,0.116
442,0.108,0.116
443,0.108,0.116
444,0.108,0.116
445,0.108,0.116
446,0.108,0.116
447,0.108,0.116
448,0.108,0.116
449,0.108,0.116
450,0.108,0.116
451,0.108,0.116
452,0.108,0.116
453,0.108,0.116
454,0.108,0.116
455,0.108,0.116
456,0.108,0.116
457,0.108,0.116
458,0.108,0.116
459,0.108,0.116
460,0.108,0.116
461,0.108,0.116
462,0.108,0.116
463,0.108,0.116
464,0.108,0.116
465,0.108,0.116
466,0.108,0.116
467,0.108,0.116
468,0.108,0.116
469,0.108,0.116
470,0.108,0.116
471,0.108,0.116
472,0.108,0.116
473,0.108,0.116
474,0.108,0.116
475,0.108,0.116
476,0.108,0.116
477,0.108,0.116
478,0.108,0.116
479,0.108,0.116
