voted
epochs,train,test
1,0.962,0.960
2,0.971,0.970
3,0.980,0.984
4,0.980,0.984
5,0.985,0.984
6,0.986,0.986
7,0.986,0.986
8,0.982,0.986
9,0.983,0.986
10,0.985,0.986
