standard
epochs,train,test
1,0.962,0.966
2,0.982,0.984
3,0.973,0.974
4,0.977,0.976
5,0.980,0.984
6,0.979,0.984
7,0.980,0.984
8,0.983,0.986
9,0.978,0.980
10,0.979,0.980
