average
epochs,train,test
1,0.961,0.958
2,0.971,0.974
3,0.975,0.980
4,0.978,0.982
5,0.979,0.984
6,0.979,0.984
7,0.981,0.984
8,0.982,0.986
9,0.982,0.986
10,0.983,0.986
