sgd c=100/873 a=100/873
epochs,train,test,weights
10,0.09323394495412847,0.10070000000000001,[-11.04789575  -2.48428919  -5.78358292   1.14925891  12.926946  ]
sgd c=700/873 a=700/873
epochs,train,test,weights
10,0.18555045871559633,0.19180000000000005,[-129.76547477  -17.30970693   26.85769291 -203.96187734  232.99045999]
sgd c=500/873 a=2
epochs,train,test,weights
10,0.22001146788990825,0.22890000000000002,[ -84.81391486  -83.12643591   13.32413092 -106.96264464  277.93468498]
sgd c=700/873 a=2
epochs,train,test,weights
10,0.16284403669724776,0.16929999999999995,[-114.99559261  -23.69693903  -33.68410483   13.60170468  100.61020919]
sgd c=500/873 a=500/873
epochs,train,test,weights
10,0.1469610091743119,0.15489999999999998,[-181.43118499  -15.89078909  -79.91841463   35.1496728    85.65314098]
sgd c=100/873 a=2
epochs,train,test,weights
10,0.21508027522935777,0.21799999999999997,[-56.22916835  -9.63284662 -12.35953118  13.77024421  44.22370376]
